no;y;X1;X2
1;1.428089027;1.370958447;2.921220111
2;1.029692411;-0.564698171;5.166710031
3;-0.409505963;0.363128411;0.400621499
4;-1.052394124;0.632862605;10.06417023
5;-0.454249152;0.404268323;3.26980083
6;-1.17138827;-0.106124516;2.797515157
7;0.83486778;1.511521997;3.087573902
8;0.646191202;-0.094659038;3.28660173
9;1.4607044;2.018423714;5.434186185
10;1.019261899;-0.062714099;0.954075711
11;-0.89376187;1.304869654;0.414785404
12;2.087096519;2.286645393;4.396079415
13;0.553602171;-1.388860701;2.453388199
14;0.703321658;-0.278788767;4.194872039
15;-0.482439554;-0.133321336;6.012839209
16;0.113752121;0.635950398;7.93608782
17;0.549020491;-0.284252921;3.62805185
18;-1.164267135;-2.656455421;1.135702386
19;-3.229618848;-2.440466929;3.494938417
20;-0.699269276;1.320113346;0.889052039
21;2.738939376;-0.306638594;6.838909052
22;-1.833697051;-1.781308434;0.57122304
23;1.317956014;-0.171917356;2.903552946
24;1.538681531;1.214674699;2.934912757
25;0.722111961;1.895193461;1.881461175
26;-2.683816369;-0.430469132;0.915755783
27;1.126693791;-0.257269383;5.549525099
28;3.020102026;-1.763163085;6.824379259
29;0.644565121;0.460097355;0.977540254
30;-0.846495024;-0.639994876;1.001984358
31;0.897733625;0.455450123;1.882878746
32;1.683982946;0.704837337;1.025159674
33;0.205631846;1.035103522;3.504471805
34;1.880725717;-0.608926375;7.801599748
35;1.619472078;0.504955123;0.856499123
36;-1.239136694;-1.717008679;2.286586885
37;-1.901152534;-0.784459008;0.649018641
38;0.040567839;-0.850907594;3.151195622
39;-0.909875267;-2.41420765;4.569994403
40;0.182214056;0.036122607;3.113244383
41;-0.136795812;0.2059986;3.397969756
42;1.456527613;-0.361057299;4.15023929
43;2.543235853;0.758163236;2.107281336
44;-0.751291101;-0.726704827;1.288015309
45;-1.842441316;-1.368281044;0.728206619
46;0.811126945;0.432818026;1.725883827
47;2.124828741;-0.811393176;5.35810967
48;8.838831573;1.444101262;13.87849067
49;2.936244882;-0.431446203;4.973880881
50;5.254937521;0.655647883;10.90725631
51;1.527019107;0.321925265;1.552133298
52;0.854316498;-0.783838941;3.983411209
53;1.339021024;1.57572752;2.882127971
54;0.973519337;0.642899306;2.704635075
55;2.02754393;0.089760647;5.84249014
56;8.456429932;0.276550747;13.00962684
57;3.362381645;0.679288816;2.916105555
58;0.231086538;0.089832887;0.339383363
59;-2.365521606;-2.993090083;1.757513194
60;2.980675561;0.284882954;3.096267987
61;4.020273986;-0.367234643;5.070717198
62;2.90710837;0.185230565;2.651943918
63;3.601831242;0.581823727;3.153315483
64;1.051292877;1.399736827;2.140386448
65;0.501079445;-0.727292059;0.723717881
66;2.194402347;1.302542632;1.984932854
67;1.357593044;0.33584812;1.429011922
68;2.892356561;1.038506099;4.401148067
69;2.787465489;0.920728568;2.563093135
70;0.934565149;0.720878163;2.066884201
71;-0.224397175;-1.043118939;1.530886437
72;-0.119234122;-0.090186387;0.735412216
73;2.651981716;0.623518162;4.54950778
74;-1.409379677;-0.953523358;0.785418222
75;1.345875438;-0.542828815;3.126240309
76;2.619679518;0.580996498;2.999410513
77;6.328637265;0.768178738;7.488206488
78;3.771951448;0.463767589;8.585805847
79;3.474404047;-0.885776297;4.399375544
80;2.163596893;-1.099780899;2.883325752
81;1.41501819;1.51270701;2.833928367
82;4.492505988;0.257921438;6.983276609
83;4.688127544;0.088440229;5.712170223
84;7.074563667;-0.120896538;5.042314343
85;1.233616189;-1.194328895;2.545735018
86;2.222411026;0.611996898;2.822762626
87;1.404763194;-0.217139846;2.380400409
88;0.822714869;-0.182756706;1.413039221
89;2.598774727;0.933346329;2.269063525
90;5.571263615;0.821773111;4.867161979
91;-0.313841977;1.392116376;2.029856007
92;0.652363296;-0.476173923;0.841969165
93;2.834302251;0.650348561;3.71266729
94;5.738611332;1.391110456;6.504635895
95;-0.011303283;-1.110788879;0.294151314
96;7.083724466;-0.860792587;8.208568884
97;1.689538602;-1.131738681;2.735271893
98;0.228719635;-1.459214;1.307242497
99;4.777743027;0.079982553;4.476992838
100;3.18343142;0.65320434;1.841355751
101;7.275489133;1.200965376;6.613971866
102;2.59092796;1.044751087;2.331384186
103;6.182451559;-1.003208647;4.635216795
104;1.873880942;1.848481902;1.842753704
105;1.428876489;-0.666773409;1.281078701
106;2.92207513;0.105513812;2.259468187
107;3.638912207;-0.422255882;2.232761758
108;6.694112453;-0.122350172;3.665473066
109;11.58822506;0.188193035;8.740318745
110;8.924896793;0.119160958;7.291107777
111;3.552476138;-0.025092551;2.859523297
112;4.277147895;0.108072728;3.916000579
113;9.347190097;-0.485435236;8.314764733
114;7.74409261;-0.504217131;3.220751539
115;7.506157316;-1.66109908;6.803034189
116;-0.174187225;-0.382333727;0.323959539
117;3.563132898;-0.512650258;2.284189021
118;1.601877675;2.701891;2.361091964
